OtherPlace_ID,OtherPlace_Name,OtherPlace_Type,OtherPlace_City,OtherPlace_Region
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/104067,Museo delle armi antiche e della Rocca medievale,Architettura Fortificata,http://dati.beniculturali.it/mibact/luoghi/resource/City/Offagna,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Marche
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/105161,Sito archeologico Nuraghe Nolza,Area Archeologica,http://dati.beniculturali.it/mibact/luoghi/resource/City/Meana_Sardo,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Sardegna
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/101946,Museo di San Domenico di Bologna,Chiesa o edificio di culto,http://dati.beniculturali.it/mibact/luoghi/resource/City/Bologna,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/108106,Villa Redenta,Villa o Palazzo di interesse storico o artistico,http://dati.beniculturali.it/mibact/luoghi/resource/City/Spoleto,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Umbria
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100847,Museo parrocchiale di Saint-Vincent (Italia),Chiesa o edificio di culto,http://dati.beniculturali.it/mibact/luoghi/resource/City/Saint-Vincent,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Valle_d_Aosta_Vallee_d_Aoste
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20475,Chiesa di San Giovannello,Monumento,http://dati.beniculturali.it/mibact/luoghi/resource/City/Gerace,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Calabria
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/110880,Chiesa della Santissima Annunziata,Chiesa o edificio di culto,http://dati.beniculturali.it/mibact/luoghi/resource/City/Sulmona,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Abruzzo
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/106466,Villa Romana (Parco Randaccio),Area Archeologica,http://dati.beniculturali.it/mibact/luoghi/resource/City/Duino-Aurisina,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Friuli-Venezia_Giulia
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100746,Villa Fidelia,Villa o Palazzo di interesse storico o artistico,http://dati.beniculturali.it/mibact/luoghi/resource/City/Spello,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Umbria
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/107187,Villa Hanbury,Villa o Palazzo di interesse storico o artistico,http://dati.beniculturali.it/mibact/luoghi/resource/City/Ventimiglia,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Liguria
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/104685,Giardino di Leonardo,Parco o Giardino di interesse storico o artistico,http://dati.beniculturali.it/mibact/luoghi/resource/City/Vinci,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Toscana
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/104011,Area archeologica di Segesta,Parco Archeologico,http://dati.beniculturali.it/mibact/luoghi/resource/City/Calatafimi-Segesta,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Sicilia
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/104810,Ex Cava di estrazione del granito,Altro,http://dati.beniculturali.it/mibact/luoghi/resource/City/Novate_Mezzola,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/153301,"Fondazione Arca, Biblioteca",Fondazione,http://dati.beniculturali.it/mibact/luoghi/resource/City/Senigallia,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Marche
