Archive_ID,Archive_Name,Archive_City,Archive_Region,Archive_Latitude,Archive_Longitude,Ticket_Cost
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/128159,Archivio di Stato di Macerata - Sezione di Camerino,http://dati.beniculturali.it/mibact/luoghi/resource/City/Camerino,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Marche,43.13815,13.071067,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/120074,Archivio di Stato di Forlì-Cesena. Sezione di Cesena,http://dati.beniculturali.it/mibact/luoghi/resource/City/Cesena,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,44.139317,12.243858,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/158251,Archivio di Stato di Rimini,http://dati.beniculturali.it/mibact/luoghi/resource/City/Rimini,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,41.86956,12.568359,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/114594,Archivio di Stato di Terni,http://dati.beniculturali.it/mibact/luoghi/resource/City/Terni,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Umbria,42.56264,12.645044,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20694,Archivio di Stato di Isernia,http://dati.beniculturali.it/mibact/luoghi/resource/City/Isernia,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Molise,41.596725,14.240231,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/116627,Archivio di Stato di Agrigento,http://dati.beniculturali.it/mibact/luoghi/resource/City/Agrigento,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Sicilia,37.322704,13.591668,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/116657,Archivio di Stato di Chieti,http://dati.beniculturali.it/mibact/luoghi/resource/City/Chieti,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Abruzzo,42.350945,14.184178,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/136281,Archivio di Stato di Reggio Calabria. Sezione di Locri,http://dati.beniculturali.it/mibact/luoghi/resource/City/Locri,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Calabria,38.229637,16.257322,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/114711,Archivio di Stato di Imperia,http://dati.beniculturali.it/mibact/luoghi/resource/City/Imperia,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Liguria,43.88186,8.019999,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/105130,Archivio di Stato di Reggio Calabria,http://dati.beniculturali.it/mibact/luoghi/resource/City/Reggio_di_Calabria,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Calabria,38.114628,15.650204,Free Entry
